year,code,country,sex,value,highlighted
2020,NOR,Norway,Male,70.62736652035652,True
2020,NOR,Norway,Female,71.20166752545732,True
2021,NOR,Norway,Male,70.60977695923523,True
2021,NOR,Norway,Female,71.0326743318875,True
2022,NOR,Norway,Male,70.05833655301772,True
2022,NOR,Norway,Female,70.63176304752753,True
2023,NOR,Norway,Male,70.33475570161951,True
2023,NOR,Norway,Female,70.76282535412808,True
2000,NZL,New Zealand,Male,65.6531456646785,False
2000,NZL,New Zealand,Female,67.59119282916747,False
2001,NZL,New Zealand,Male,65.82696779489645,False
2001,NZL,New Zealand,Female,67.63864479787507,False
2002,NZL,New Zealand,Male,66.06570610360231,False
2002,NZL,New Zealand,Female,67.72078343347704,False
2003,NZL,New Zealand,Male,66.31671225982927,False
2003,NZL,New Zealand,Female,67.81518391052303,False
2004,NZL,New Zealand,Male,66.59572869186916,False
2004,NZL,New Zealand,Female,67.9876884832944,False
2005,NZL,New Zealand,Male,66.969807808106,False
2005,NZL,New Zealand,Female,68.2172289033916,False
2006,NZL,New Zealand,Male,67.1180300464146,False
2006,NZL,New Zealand,Female,68.3180387083721,False
2007,NZL,New Zealand,Male,67.22317608761594,False
2007,NZL,New Zealand,Female,68.42738401863505,False
2008,NZL,New Zealand,Male,67.3995058889166,False
2008,NZL,New Zealand,Female,68.55733136855659,False
2009,NZL,New Zealand,Male,67.65572221226634,False
2009,NZL,New Zealand,Female,68.72645305018492,False
2010,NZL,New Zealand,Male,67.91565278212373,False
2010,NZL,New Zealand,Female,68.86261905719785,False
2011,NZL,New Zealand,Male,67.96298964363848,False
2011,NZL,New Zealand,Female,68.77937559314583,False
2012,NZL,New Zealand,Male,68.11419672433709,False
2012,NZL,New Zealand,Female,68.96864735418924,False
2013,NZL,New Zealand,Male,68.27003052797934,False
2013,NZL,New Zealand,Female,69.08972362768658,False
2014,NZL,New Zealand,Male,68.2789752212132,False
2014,NZL,New Zealand,Female,68.99528585956875,False
2015,NZL,New Zealand,Male,68.34346912255481,False
2015,NZL,New Zealand,Female,68.98907863110358,False
2016,NZL,New Zealand,Male,68.4504255426301,False
2016,NZL,New Zealand,Female,69.08441505726219,False
2017,NZL,New Zealand,Male,68.43537555844884,False
2017,NZL,New Zealand,Female,69.10434173095359,False
2018,NZL,New Zealand,Male,68.51895409207705,False
2018,NZL,New Zealand,Female,69.1760890818747,False
2019,NZL,New Zealand,Male,68.71619354216561,False
2019,NZL,New Zealand,Female,69.33431033902201,False
2020,NZL,New Zealand,Male,68.87965548177358,False
2020,NZL,New Zealand,Female,69.43401947556526,False
2021,NZL,New Zealand,Male,68.76262756211648,False
2021,NZL,New Zealand,Female,69.25510035293209,False
